DATUM;Situation;Beschreibung;Sozialform;Beobachtung ID;Skala;Kategorie;TM;X
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;DIFFERENZIERUNG_1;2;3
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;DIFFERENZIERUNG_2;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;DRAUßEN;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;ERFAHRUNG;3;3
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;GANZHEITLICH;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;HANDLUNG;4;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KLIMA_1;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KLIMA_2;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KLIMA_3;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KLIMA_4;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KLIMA_5;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KOMMUNIKATION_1;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KOMMUNIKATION_2;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KOMMUNIKATION_3;1;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KOMPETENZ_1;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KOMPETENZ_2;5;5
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;KOOPERATIV;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;LEISTUNG;2;2
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;LERNERO.;5;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;LERNORT_1;2;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;LERNORT_2;1;1
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;LERNORT_3;4;4
16.11.23;Video;Video 2 (4. Klasse) - Schiff;EA;V.2.1;5;LERNZEIT_1;2;1
